GLON,GLAT,z,Mbh
38.45231,27.53299,0.02049,171.441
38.48998,-54.88611,0.02394,343.989
38.5895,34.82692,0.02268,226.9
38.65471,-30.61535,0.02428,171.322
38.76267,-48.90708,0.01757,127.125
38.84047,-52.23447,0.01641,112.478
38.85745,14.75887,0.02084,243.977
38.95705,25.26575,0.02054,466.127
38.96503,-29.79447,0.02072,521.837
39.29301,68.4572,0.0144,341.611
39.46494,39.29899,0.0098,89.038
39.74873,43.35631,0.01506,91.708
39.86154,-61.95826,0.01065,250.592
39.88196,-3.77705,0.02062,172.875
40.05524,-60.2701,0.01036,80.289
40.47865,-26.42818,0.01301,155.552
40.50978,-29.48237,0.02017,188.47
40.55443,89.04689,0.02373,178.852
41.05245,-64.95895,0.02203,143.884
41.08185,-23.77698,0.01933,119.891
41.12079,-86.92543,0.01884,112.743
41.15083,-26.1405,0.01266,167.416
41.15934,-25.39829,0.02076,357.342
41.24497,13.20761,0.00895,102.762
41.43559,49.93769,0.02139,160.048
41.51727,-44.94119,0.01807,160.125
41.54106,-22.77492,0.0189,463.926
41.57596,-54.94329,0.00872,61.139
41.59356,-18.81611,0.0183,226.07
41.90997,-25.60405,0.02055,171.338
41.93712,86.91109,0.02305,347.839
41.99201,50.69293,0.02308,160.734
42.05627,85.07156,0.02138,382.648
42.15533,-29.46841,0.02065,270.544
42.20372,-29.47291,0.02012,323.904
42.50539,22.51193,0.01021,52.947
42.61877,24.20668,0.01314,119.54
42.71903,-36.88641,0.0084,74.294
42.73373,-11.10965,0.01954,142.617
42.84511,-24.32807,0.01906,346.553
42.89476,-52.55964,0.01377,112.734
43.04253,-53.24395,0.01623,189.705
43.05134,-22.94586,0.02064,199.239
43.15298,68.37004,0.01449,284.777
43.25997,-23.50614,0.02059,261.378
43.45639,-47.9259,0.00907,149.147
43.51318,-47.72494,0.01798,161.48
43.56824,28.2625,0.02164,157.363
43.56934,33.94509,0.00931,140.901
43.63893,20.48018,0.01043,113.581
43.64071,48.52159,0.01423,68.42
43.64429,11.88147,0.01771,373.401
43.65374,20.57314,0.01082,75.774
43.76345,20.23314,0.01002,140.884
43.79166,-42.51635,0.01884,270.7
43.80415,20.23229,0.01023,153.843
43.84977,-53.73357,0.01683,85.32
43.94041,13.33947,0.01759,210.225
44.1458,-7.68147,0.01959,136.35
44.24478,-16.57093,0.02185,211.685
44.26065,-16.9661,0.02217,246.877
44.78753,75.43193,0.00796,81.866
44.87768,31.45043,0.02212,377.359
44.99146,18.15226,0.00725,124.711
45.04493,17.30697,0.01806,126.541
45.29725,23.14449,0.02119,169.812
45.31642,-20.37636,0.01272,137.435
45.47769,25.247,0.0238,172.243
45.55883,22.65477,0.01067,55.111
45.65442,4.30268,0.02438,265.372
45.68952,19.51508,0.01816,323.871
45.70515,-37.5361,0.02476,328.268
45.89548,63.33413,0.02325,260.426
45.9066,-11.76762,0.01091,512.805
45.99746,16.53999,0.01025,147.836
46.42171,68.37865,0.01436,242.928
46.75043,-19.73945,0.01716,151.173
46.96805,10.54568,0.01688,248.193
46.96996,-19.55996,0.01655,92.999
47.06704,-27.91082,0.01267,95.252
47.21969,83.72323,0.02218,297.079
47.36209,66.29325,0.01237,61.554
47.39939,-25.40168,0.01269,157.269
47.4062,-25.37277,0.01405,388.77
47.52798,-25.38057,0.01257,110.05
47.64805,-54.76151,0.01626,255.326
47.73968,-55.11632,0.00902,52.233
47.82276,25.27529,0.01106,72.847
47.91042,-22.81389,0.01286,66.008
47.96467,-22.87337,0.01329,77.121
48.09049,22.91221,0.01313,497.337
48.23212,-50.1581,0.0093,32.556
48.35878,17.975,0.01736,247.849
48.38672,11.45923,0.01789,199.416
48.60174,68.32507,0.01428,64.723
48.80092,16.54587,0.01736,259.38
48.84536,88.62386,0.02456,812.341
48.86609,10.1791,0.01419,257.459
48.89449,-28.60236,0.02369,464.427
48.91828,47.37264,0.02187,340.883
49.12511,11.99975,0.01614,380.724
49.20374,85.99136,0.01997,168.081
49.22506,-14.59287,0.01914,354.434
49.34605,30.04209,0.01578,84.936
49.59615,68.11105,0.01188,170.854
49.6189,-16.89718,0.01588,104.41
49.62216,65.87334,0.02267,163.175
49.62515,29.24049,0.01584,139.546
49.64328,17.06523,0.01853,385.549
49.64948,9.2679,0.0172,138.164
49.66397,-23.1876,0.01357,173.737
49.73658,-15.20073,0.01695,197.325
49.7652,25.35327,0.01149,90.7
49.87756,25.49592,0.01077,110.903
50.33372,-33.46451,0.01634,173.918
50.48342,15.40873,0.01045,82.827
50.59798,-32.19832,0.01938,200.553
50.60197,21.90052,0.01981,245.772
50.79988,87.71076,0.02446,176.865
50.88517,77.3363,0.01557,150.946
50.9646,-55.24546,0.02483,392.899
51.05787,-55.29389,0.02411,273.745
51.09215,7.02192,0.01703,116.015
51.10985,15.87718,0.01943,111.498
51.13588,14.9881,0.01358,163.653
51.27521,16.55538,0.01482,266.615
51.32288,87.64958,0.01829,111.162
51.3467,14.93658,0.01383,126.468
51.44133,20.84384,0.00904,83.973
51.48197,86.05029,0.02179,170.696
51.59639,13.31974,0.01333,78.207
51.60831,70.5861,0.01425,78.922
51.76423,-85.52973,0.00979,32.731
51.80865,13.8826,0.01424,205.017
51.89459,13.74738,0.01413,501.732
52.05698,18.50444,0.01015,123.272
52.1478,22.31301,0.01578,158.863
52.18531,5.0341,0.01561,111.339
52.32569,-19.99374,0.01473,166.582
52.37577,87.65732,0.01829,406.654
52.61948,30.73505,0.02289,427.491
52.85105,88.56104,0.0203,158.69
52.90244,24.24996,0.0141,81.701
52.99697,-22.8353,0.0183,116.332
53.01522,87.28007,0.01816,160.04
53.1985,-30.10265,0.01305,94.829
